,Date,Open,High,Low,Close,Adj Close,Volume,daily_return,Bollinger_Upper,Bollinger_Lower,RSI,MACD,Signal_Line,Earnings Estimate,Reported Earnings,Surprise,diff_macd_sinal_line
427,2022-09-14,132.539993,132.899994,129.130005,131.279999,131.199753,58850700,-0.0228459374433942,193.25005576913264,117.58394233086732,22.90895524813732,-10.875036604505254,-8.795254406160373,,,,-2.0797821983448816
428,2022-09-15,130.149994,132.330002,127.900002,129.289993,129.210968,52362500,-1.515848579493051,189.86265900056904,115.56533779943098,14.72254329450314,-11.231779972752264,-9.282559519478752,,,,-1.9492204532735116
429,2022-09-16,127.419998,132.119995,126.169998,131.979996,131.899323,67075100,2.0805964464705173,184.2729831464385,115.58001365356154,23.045781979637557,-11.16869513621927,-9.659786642826855,,,,-1.5089084933924148
430,2022-09-19,130.119995,134.630005,130.100006,133.820007,133.738205,56968500,1.3941590057329645,179.9657164500332,115.42028054996676,27.622596870151824,-10.845209613166702,-9.896871236894825,,,,-0.9483383762718773
431,2022-09-20,132.149994,134.830002,130.570007,131.759995,131.679459,52481800,-1.5393901451522083,176.93015019512046,114.59784670487949,28.287250006839717,-10.632505848801657,-10.043998159276192,,,,-0.5885076895254642
432,2022-09-21,132.130005,140.309998,131.100006,132.610001,132.528931,80767900,0.6451169036550297,172.9375003407269,114.6704968592731,31.62960580984684,-10.276882696107664,-10.090575066642486,,,,-0.18630762946517798
433,2022-09-22,130.699997,131.490005,124.279999,125.610001,125.533211,75916200,-5.278636563768679,168.41023594292213,114.53676125707786,34.81908846883054,-10.439549654012865,-10.160369984116562,,,,-0.27917966989630294
434,2022-09-23,124.199997,126.110001,122.57,125.160004,125.083496,66330900,-0.3582493403530784,160.04529768506288,117.50469941493716,36.80897773515803,-10.483923246058112,-10.225080636504872,,,,-0.25884260955323946
435,2022-09-26,124.910004,126.589996,122.139999,122.279999,122.205254,54734300,-2.301058571394743,156.0746073888045,117.4433890111955,35.92080574088996,-10.628957960668371,-10.305856101337572,,,,-0.3231018593307997
436,2022-09-27,125.07,127.360001,122.580002,124.129997,124.054115,55385400,1.5129195413225327,152.37142968855127,117.75856691144875,34.97344863066213,-10.473883233247165,-10.339461527719491,,,,-0.1344217055276733
437,2022-09-28,124.099998,128.229996,123.540001,127.360001,127.282143,54241400,2.602113975721765,148.63736022045077,118.76063717954924,35.67187244165942,-9.975361310244809,-10.266641484224555,,,,0.2912801739797466
438,2022-09-29,124.480003,125.0,119.459999,122.199997,122.125298,53276300,-4.05151064658048,145.66788886221505,118.856108037785,25.895472704395644,-9.882726375582052,-10.189858462496057,,,,0.3071320869140042
439,2022-09-30,120.870003,126.330002,120.75,121.389999,121.315788,56563800,-0.6628461701189692,145.16744307972522,117.5585542202748,23.463460604618447,-9.762140710241368,-10.10431491204512,,,,0.34217420180375235
440,2022-10-03,123.470001,126.779999,121.050003,125.120003,125.043518,54747800,3.0727440734223954,144.64905734672726,116.94194015327275,41.04717011232295,-9.258865118191068,-9.93522495327431,,,,0.6763598350832432
441,2022-10-04,128.789993,132.199997,128.789993,131.669998,131.589493,58418200,5.234970302869946,144.38916209506928,116.90383580493072,50.47456630794958,-8.236540023357463,-9.59548796729094,,,,1.358947943933476
442,2022-10-05,129.110001,133.210007,126.209999,132.089996,132.009262,50713100,0.3189777522439208,143.81614678351104,116.97185081648898,53.54251077965898,-7.308205250785733,-9.1380314239899,,,,1.829826173204168
443,2022-10-06,132.199997,136.559998,131.029999,131.300003,131.219727,64415700,-0.5980717873592889,142.63381979408305,117.29417870591696,49.09623531616474,-6.560612431810341,-8.622547625553988,,,,2.061935193743647
444,2022-10-07,125.050003,126.699997,120.220001,120.760002,120.68618,67247800,-8.027418704628664,140.2987603152642,117.31823888473582,35.902417130046274,-6.7409245487748,-8.24622301019815,,,,1.50529846142335
445,2022-10-10,120.370003,121.239998,114.080002,116.699997,116.628662,69869900,-3.362044495494465,137.33576459012596,117.44623400987408,34.41639537808025,-7.129250115641241,-8.022828431286769,,,,0.8935783156455273
446,2022-10-11,115.610001,118.459999,112.830002,115.860001,115.789169,66748200,-0.7197909353845122,137.62507590351476,115.61192299648528,32.66404399354353,-7.419257005742992,-7.902114146178014,,,,0.4828571404350219
