Date,Open,High,Low,Close,Adj Close,Volume,Days to Next Earnings,Previous Reported EPS,Previous Surprise Earning,Close_Open Prev_Next Day %,5_day_avg,10_day_avg,20_day_avg,daily_return,Bollinger_Upper,Bollinger_Lower,RSI,MACD,Signal_Line,Historical_Volatility,OpenVolume,AMD_Open,AMD_High,AMD_Low,AMD_Close,AMD_Adj_Close,AMD_Volume,AMD_Close_Open Prev_Next Day %,AMD_Daily_Return,NASDAQ_Open,NASDAQ_High,NASDAQ_Low,NASDAQ_Close,NASDAQ_Adj_Close,NASDAQ_Volume,NASDAQ_Close_Open Prev_Next Day %,NASDAQ_Daily_Return,Stock rise for the next day?
2001-01-17,1.942708,2.0,1.861979,1.869792,1.715396,59258400,29,0.01,+9.38,0.0,1.8958334000000001,1.7891927000000003,,3.6074933728156733,,,,0.17032927555172783,0.12764266575179842,,115121767.74720001,19.0625,19.0625,17.875,18.5,18.5,11075800,0.33783783783783783,8.029197080291972,2710.530029,2756.629883,2668.47998,2682.780029,2682.780029,2819190000,0.5203542910375535,2.452883420140428,True
2001-01-18,1.869792,2.28125,1.828125,2.228516,2.044498,94816800,28,0.01,+9.38,2.8337691988749447,1.9722658,1.8490235,,19.185235577005354,,,,0.1983648459802383,0.1417871017974864,,177287694.1056,18.5625,22.6875,18.0,22.6875,22.6875,21222500,0.27548209366391185,22.63513513513513,2696.73999,2769.97998,2661.26001,2768.48999,2768.48999,2558710000,2.5237626739622034,3.1948188100963337,False
2001-01-19,2.291667,2.375,2.135417,2.169271,1.990145,101870400,27,0.01,+9.38,-3.001192566535037,2.00612,1.8841798,,-2.6584956087369216,,,,0.21334337157545002,0.15609835575307915,,233453033.95679998,22.75,22.9375,21.0,22.0,22.0,12341400,-1.7045454545454544,-3.0303030303030276,2838.360107,2841.25,2752.060059,2770.379883,2770.379883,2697190000,-0.4071566166509077,0.06826439708385035,False
2001-01-22,2.104167,2.1875,2.023438,2.083333,1.911304,37771200,24,0.01,+9.38,-1.2499681999949217,2.03112,1.9379558000000003,,-3.9616073787000383,,,70.2779501425628,0.21579196716628068,0.16803707803571946,,79476912.5904,21.625,22.375,20.25,21.4375,21.4375,6225800,-1.1661807580174928,-2.5568181818181768,2759.100098,2789.629883,2722.959961,2757.909912,2757.909912,2037140000,0.048953665749756695,-0.4501177284934821,True
2001-01-23,2.057292,2.333333,2.046875,2.291016,2.101838,43363200,23,0.01,+9.38,-0.08524602185230795,2.1283856,1.9977866,,9.968785595005691,,,72.99857198265224,0.23181851964153255,0.1807933663568821,,89210764.4544,21.1875,22.9375,20.5,22.3125,22.3125,8281200,0.8403361344537815,4.081632653061229,2759.26001,2845.389893,2736.280029,2840.389893,2840.389893,2278470000,0.3643900094669153,2.9906698779796903,False
2001-01-24,2.289063,2.3125,2.148438,2.28125,2.092877,45172800,22,0.01,+9.38,-3.4246575342465753,2.2106772,2.0532553,,-0.4262737580182696,,,67.17033242361937,0.24095407477580055,0.19282550804066578,,103403385.0864,22.5,22.75,21.8125,22.6875,22.6875,5469600,-0.8264462809917356,1.680672268907557,2850.73999,2892.360107,2828.320068,2859.149902,2859.149902,2567320000,-0.7974329706900488,0.6604730233068734,False
2001-01-25,2.203125,2.208333,2.005208,2.052083,1.882634,44001600,21,0.01,+9.38,-5.583741008526463,2.1753906,2.0738282000000003,,-10.045676712328767,,,56.048383975027626,0.22708451740491897,0.19967730991351643,,96941025.0,22.5,22.625,21.5,21.9375,21.9375,6068300,-2.564102564102564,-3.3057851239669422,2836.350098,2849.560059,2753.370117,2754.280029,2754.280029,2298150000,-1.7750604689876284,-3.6678690028334238,True
2001-01-26,1.9375,2.141927,1.923177,2.117188,1.942363,25924800,20,0.01,+9.38,-3.0750693844854573,2.164974,2.0855469999999996,,3.1726299569754257,,,66.516168141506,0.218823758582662,0.20350659964734555,,50229300.0,21.375,21.875,20.6875,21.375,21.375,6544700,1.5204725146198845,-2.564102564102566,2705.389893,2785.620117,2686.649902,2781.300049,2781.300049,2268800000,-0.8632657238341698,0.9810193486321062,True
2001-01-29,2.052083,2.130208,1.979167,2.127604,1.951919,35416800,17,0.01,+9.38,1.591179561610162,2.1738282,2.1024741,,0.4919733155487327,,,63.64377895682641,0.21068884202866967,0.2049430481236104,,72678213.1944,21.700001,23.15,21.629999,23.0,23.0,6617400,0.6086913043478241,7.602339181286544,2757.290039,2840.02002,2742.5,2838.340088,2838.340088,1970130000,0.23499375667487113,2.0508409015599804,True
2001-01-30,2.161458,2.220052,2.119792,2.174479,1.994923,24372000,16,0.01,+9.38,0.11975282354992957,2.1505208,2.1394531999999997,1.93320315,2.203182547128124,2.479593594000692,1.3868127059993078,63.93838080325025,0.20565363570256556,0.20508516563940143,,52679054.376,23.139999,24.75,22.75,24.02,24.02,9093800,-1.540383014154875,4.434782608695653,2845.01001,2861.709961,2817.129883,2838.350098,2838.350098,2073590000,0.3438620558780724,0.00035267091644808346,False
