,Date,Open,High,Low,Close,Adj Close,Volume,daily_return,Bollinger_Upper,Bollinger_Lower,RSI,MACD,Signal_Line,Earnings Estimate,Reported Earnings,Surprise
count,711,711.0,711.0,711.0,711.0,711.0,711.0,710.0,692.0,692.0,698.0,711.0,711.0,11.0,11.0,11.0
mean,2022-06-01 11:56:57.721519104,235.06953555836844,239.67066421378337,230.361694464135,235.194293278481,235.00788376652602,46166134.88045007,0.2183649620519908,260.77560632519754,207.12322136179674,54.44773312050305,3.0391813870373587,3.069798569771147,1.0836363636363637,1.1227272727272728,2.1890909090909103
min,2021-01-04 00:00:00,109.709999,117.349998,108.129997,112.269997,112.20137,14627600.0,-9.47259890784008,133.0849311781079,108.68019889958912,8.184559907406225,-17.940380072600107,-15.393379602670942,0.69,0.51,-59.38
25%,2021-09-16 12:00:00,157.32624850000002,160.379997,154.66000350000002,157.814995,157.6716615,34356950.0,-1.7622838478784433,180.8807892043243,138.67612594509978,40.606333593992304,-3.104777627503765,-2.462838085581992,0.815,0.8300000000000001,3.83
50%,2022-06-01 00:00:00,205.039993,208.419998,202.029999,205.169998,204.880341,45239500.0,0.2293567891434089,229.73932264184924,184.7722094774698,54.84304187886649,2.6917201374964748,2.826309546689341,1.01,1.04,7.99
75%,2023-02-14 12:00:00,276.6100005,281.96000649999996,271.755005,277.0550075,276.7255705,56228800.0,2.098714826552439,304.4338983987868,242.409573490453,68.4468111499608,8.162898995379877,7.522375038608876,1.24,1.245,10.895
max,2023-10-30 00:00:00,502.160004,502.660004,489.579987,493.549988,493.509338,154391100.0,24.36963186243972,509.358774244518,434.9548144777489,95.1255295681391,31.561003834217843,29.8046733245808,2.09,2.7,29.41
std,,100.3279746507054,101.75390637654155,98.44675996951072,100.0073692146479,100.0510174388166,17653896.931571696,3.408130069464247,105.51188699330123,89.98931130972295,17.96881090337096,9.44418396020113,8.92988016790901,0.39805207516787866,0.5899676416396227,23.235249710104455
